City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,21.44,61,90,1.54,US,1688968765
1,port-aux-francais,-49.35,70.2167,2.36,62,100,9.05,TF,1688968765
2,invercargill,-46.4,168.35,7.76,89,47,1.49,NZ,1688968505
3,xucheng,20.35,110.1288,32.14,61,12,2.37,CN,1688968766
4,ushuaia,-54.8,-68.3,2.81,81,75,7.2,AR,1688968766
5,vilyuchinsk,52.9306,158.4028,15.15,96,100,2.64,RU,1688968767
6,blackmans bay,-43.0167,147.3167,15.07,61,66,3.99,AU,1688968767
7,adamstown,-25.066,-130.1015,21.37,68,100,6.87,PN,1688968767
8,anadyr,64.75,177.4833,18.28,42,0,4.0,RU,1688968202
9,valparaiso,-33.0393,-71.6273,11.74,81,0,2.82,CL,1688968769
10,ta`u,-14.2336,-169.5144,27.7,80,29,7.12,AS,1688968769
11,yamada,39.4667,141.95,27.62,66,60,2.97,JP,1688968610
12,vila franca do campo,37.7167,-25.4333,20.23,88,77,2.37,PT,1688968770
13,avarua,-21.2078,-159.775,25.03,94,20,4.12,CK,1688968770
14,puerto natales,-51.7236,-72.4875,-2.86,94,20,1.37,CL,1688968770
15,hamilton,39.1834,-84.5333,18.27,88,0,0.67,US,1688968770
16,hami,42.8,93.45,29.28,29,100,2.99,CN,1688968771
17,jamestown,42.097,-79.2353,17.8,100,40,2.57,US,1688968771
18,pimenta bueno,-11.6725,-61.1936,20.97,65,0,0.92,BR,1688968771
19,albany,42.6001,-73.9662,19.97,95,100,0.75,US,1688968772
20,westport,41.1415,-73.3579,24.2,92,100,7.2,US,1688968772
21,ilulissat,69.2167,-51.1,6.24,84,98,1.88,GL,1688968773
22,bethel,41.3712,-73.414,22.79,88,100,0.45,US,1688968575
23,utrik,11.2278,169.8474,28.33,81,99,7.41,MH,1688968773
24,constantia,44.1833,28.65,21.5,52,17,5.17,RO,1688968773
25,dudinka,69.4058,86.1778,6.46,81,100,5.06,RU,1688968774
26,bredasdorp,-34.5322,20.0403,7.99,72,88,1.27,ZA,1688968774
27,florence,43.7667,11.25,27.52,72,0,1.03,IT,1688968553
28,port mathurin,-19.6833,63.4167,23.86,60,53,8.31,MU,1688968775
29,kirakira,-10.4544,161.9205,27.49,80,96,6.02,SB,1688968776
30,happy valley-goose bay,53.3168,-60.3315,17.17,88,40,2.57,CA,1688968776
31,waitangi,-43.9535,-176.5597,9.9,92,99,3.13,NZ,1688968776
32,almeirim,-1.5233,-52.5817,22.87,94,19,1.72,BR,1688968777
33,uturoa,-16.7333,-151.4333,26.72,81,41,10.55,PF,1688968777
34,tomatlan,19.9333,-105.25,25.83,89,61,0.74,MX,1688968777
35,kamaishi,39.2667,141.8833,26.94,70,67,3.05,JP,1688968666
36,badger,64.8,-147.5333,21.4,66,78,1.88,US,1688968778
37,nantes,47.1667,-1.5833,15.81,100,20,1.54,FR,1688968778
38,abadeh,31.1608,52.6506,30.86,9,0,0.94,IR,1688968778
39,twon-brass,4.3151,6.2418,25.46,86,96,3.33,NG,1688968779
40,kristiansund,63.1115,7.732,19.03,77,0,2.57,NO,1688968779
41,olonkinbyen,70.9221,-8.7187,2.58,96,100,10.0,SJ,1688968779
42,arraial do cabo,-22.9661,-42.0278,20.97,79,100,3.6,BR,1688968780
43,chasong,41.4608,126.6414,24.74,86,48,2.87,KP,1688968780
44,kralendijk,12.15,-68.2667,27.37,88,60,9.97,BQ,1688968781
45,laojunmiao,39.8333,97.7333,18.14,58,99,3.38,CN,1688968781
46,bilibino,68.0546,166.4372,16.08,57,100,1.28,RU,1688968781
47,sinton,28.0367,-97.5092,28.81,84,0,5.47,US,1688968781
48,georgetown,5.4112,100.3354,32.96,68,20,3.6,MY,1688968708
49,susuman,62.7833,148.1667,5.79,66,100,3.23,RU,1688968782
50,edinburgh of the seven seas,-37.0676,-12.3116,15.28,90,100,12.9,SH,1688968782
51,tofol,5.3248,163.0078,31.88,62,75,1.54,FM,1688968783
52,callao,-12.0667,-77.15,20.16,77,40,4.63,PE,1688968783
53,paita,-5.0892,-81.1144,21.97,84,8,5.11,PE,1688968783
54,acarau,-2.8856,-40.12,24.33,88,4,5.64,BR,1688968784
