City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,0.93,61,100,14.06,TF,1689981490
1,apatzingan,19.0833,-102.35,30.27,42,58,0.87,MX,1689981326
2,queenstown,-31.8976,26.8753,10.38,73,98,6.95,ZA,1689981490
3,bethel,41.3712,-73.414,27.05,74,0,2.57,US,1689981490
4,badger,64.8,-147.5333,25.56,44,20,1.54,US,1689981347
5,ushuaia,-54.8,-68.3,-2.19,74,0,7.72,AR,1689981491
6,whitehorse,60.7161,-135.0538,25.73,39,100,0.45,CA,1689981491
7,igarka,67.4667,86.5833,17.31,73,74,4.01,RU,1689981491
8,vilyuchinsk,52.9306,158.4028,20.15,80,80,4.33,RU,1689981313
9,broome,42.2506,-75.833,23.27,82,20,2.24,US,1689981492
10,waitangi,-43.9535,-176.5597,11.57,94,100,1.79,NZ,1689981492
11,utrik,11.2278,169.8474,28.35,77,92,6.89,MH,1689981492
12,fale old settlement,-9.3852,-171.2468,28.63,70,94,3.61,TK,1689981492
13,blackmans bay,-43.0167,147.3167,8.18,85,55,3.04,AU,1689981493
14,bredasdorp,-34.5322,20.0403,7.14,72,97,1.89,ZA,1689981493
15,san sebastian de la gomera,28.0916,-17.1133,24.2,83,0,2.06,ES,1689981493
16,port lincoln,-34.7333,135.8667,12.64,77,49,6.56,AU,1689981493
17,talnakh,69.4865,88.3972,20.67,75,100,2.6,RU,1689981493
18,albany,42.6001,-73.9662,23.69,86,3,0.89,US,1689981494
19,remire-montjoly,4.9167,-52.2667,25.02,94,28,1.03,GF,1689981494
20,aasiaat,68.7098,-52.8699,3.53,95,97,5.17,GL,1689981495
21,severo-yeniseyskiy,60.3725,93.0408,15.78,66,47,1.73,RU,1689981495
22,coquimbo,-29.9533,-71.3436,13.85,88,0,2.06,CL,1689981495
23,margaret river,-33.95,115.0667,11.03,78,1,1.52,AU,1689981496
24,berezovyy,51.6667,135.7,25.44,35,84,4.58,RU,1689981496
25,afaahiti,-17.75,-149.2833,26.93,62,43,4.69,PF,1689981496
26,edinburgh of the seven seas,-37.0676,-12.3116,12.43,67,100,7.54,SH,1689981497
27,papatowai,-46.5619,169.4708,7.32,68,5,6.29,NZ,1689981497
28,luis correia,-2.8792,-41.6669,25.7,81,4,5.44,BR,1689981498
29,northam,51.0333,-4.2167,14.78,85,85,4.31,GB,1689981498
30,torquay,50.4638,-3.5143,14.92,85,64,1.79,GB,1689981498
31,ribeira grande,38.5167,-28.7,20.43,92,96,2.24,PT,1689981498
32,takoradi,4.8845,-1.7554,24.44,89,84,4.37,GH,1689981487
33,adamstown,-25.066,-130.1015,21.08,72,50,13.66,PN,1689981303
34,isafjordur,66.0755,-23.124,11.04,69,94,1.65,IS,1689981499
35,venancio aires,-29.6064,-52.1919,21.79,93,6,1.83,BR,1689981499
36,chita,52.0333,113.55,13.94,62,100,4.0,RU,1689981500
